"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Sterna forsteri",8329,"NA","NA","NA","NA","NA","NA"
"Sterna hirundo",8330,"NA","NA","NA","NA","NA","NA"
"Sterna paradisaea",8331,"NA","NA","NA","NA","NA","NA"
"Sterna cf. S. dougallii",8332,"NA","NA","NA","NA","NA","NA"
"Sterna cf. S. forsteri",8333,"NA","NA","NA","NA","NA","NA"
"Sterna cf. S. hirundo",8334,"NA","NA","NA","NA","NA","NA"
"Sterna cf. S. paradisaea",8335,"NA","NA","NA","NA","NA","NA"
"Thalasseus",8336,"NA","NA","NA","NA","NA","NA"
"Thalasseus sp.",8337,"NA","NA","NA","NA","NA","NA"
"Thalasseus elegans",8338,"NA","NA","NA","NA","NA","NA"
"Thalasseus maximus",8339,"NA","NA","NA","NA","NA","NA"
"Thalasseus sandvicensis",8340,"NA","NA","NA","NA","NA","NA"
"Thalasseus cf. T. elegans",8341,"NA","NA","NA","NA","NA","NA"
"Thalasseus cf. T. maximus",8342,"NA","NA","NA","NA","NA","NA"
"Thalasseus cf. T. sandvicensis",8343,"NA","NA","NA","NA","NA","NA"
"Rynchops",8344,"NA","NA","NA","NA","NA","NA"
"Rynchops niger",8345,"NA","NA","NA","NA","NA","NA"
"Stercorariidae",8346,"NA","NA","NA","NA","NA","NA"
"Stercorarius",8347,"NA","NA","NA","NA","NA","NA"
"Stercorarius sp.",8348,"NA","NA","NA","NA","NA","NA"
"Stercorarius longicaudus",8349,"NA","NA","NA","NA","NA","NA"
"Stercorarius parasiticus",8350,"NA","NA","NA","NA","NA","NA"
"Stercorarius pomarinus",8351,"NA","NA","NA","NA","NA","NA"
"Stercorarius cf. S. longicaudus",8352,"NA","NA","NA","NA","NA","NA"
"Stercorarius cf. S. parasiticus",8353,"NA","NA","NA","NA","NA","NA"
"Stercorarius cf. S. pomarinus",8354,"NA","NA","NA","NA","NA","NA"
"Alcidae",8355,"NA","NA","NA","NA","NA","NA"
"Alca",8356,"NA","NA","NA","NA","NA","NA"
"Alca torda",8357,"NA","NA","NA","NA","NA","NA"
"Alle",8358,"NA","NA","NA","NA","NA","NA"
"Alle alle",8359,"NA","NA","NA","NA","NA","NA"
"Uria",8360,"NA","NA","NA","NA","NA","NA"
"Uria sp.",8361,"NA","NA","NA","NA","NA","NA"
"Uria aalge",8362,"NA","NA","NA","NA","NA","NA"
"Uria lomvia",8363,"NA","NA","NA","NA","NA","NA"
"Uria cf. U. aalge",8364,"NA","NA","NA","NA","NA","NA"
"Uria cf. U. lomvia",8365,"NA","NA","NA","NA","NA","NA"
"Cepphus",8366,"NA","NA","NA","NA","NA","NA"
"Cepphus columba",8367,"NA","NA","NA","NA","NA","NA"
"Cepphus grylle",8368,"NA","NA","NA","NA","NA","NA"
"Cepphus cf. C. columba",8369,"NA","NA","NA","NA","NA","NA"
"Cepphus cf. C. grylle",8370,"NA","NA","NA","NA","NA","NA"
"Brachyramphus",8371,"NA","NA","NA","NA","NA","NA"
"Brachyramphus sp.",8372,"NA","NA","NA","NA","NA","NA"
"Brachyramphus brevirostris",8373,"NA","NA","NA","NA","NA","NA"
"Brachyramphus marmoratus",8374,"NA","NA","NA","NA","NA","NA"
"Brachyramphus cf. B. brevirostris",8375,"NA","NA","NA","NA","NA","NA"
"Brachyramphus cf. B. marmoratus",8376,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus",8377,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus sp.",8378,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus antiquus",8379,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus craveri",8380,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus hypoleucus",8381,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus cf. S. antiquus",8382,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus cf. S. craveri",8383,"NA","NA","NA","NA","NA","NA"
"Synthliboramphus cf. S. hypoleucus",8384,"NA","NA","NA","NA","NA","NA"
"Ptychoramphus",8385,"NA","NA","NA","NA","NA","NA"
"Ptychoramphus aleuticus",8386,"NA","NA","NA","NA","NA","NA"
"Aethia",8387,"NA","NA","NA","NA","NA","NA"
"Aethia sp.",8388,"NA","NA","NA","NA","NA","NA"
"Aethia cristatella",8389,"NA","NA","NA","NA","NA","NA"
"Aethia psittacula",8390,"NA","NA","NA","NA","NA","NA"
"Aethia pusilla",8391,"NA","NA","NA","NA","NA","NA"
"Aethia pygmaea",8392,"NA","NA","NA","NA","NA","NA"
"Aethia cf. A. cristatella",8393,"NA","NA","NA","NA","NA","NA"
"Aethia cf. A. psittacula",8394,"NA","NA","NA","NA","NA","NA"
"Aethia cf. A. pusilla",8395,"NA","NA","NA","NA","NA","NA"
"Aethia cf. A. pygmaea",8396,"NA","NA","NA","NA","NA","NA"
"Cerorhinca",8397,"NA","NA","NA","NA","NA","NA"
"Cerorhinca monocerata",8398,"NA","NA","NA","NA","NA","NA"
"Fratercula",8399,"NA","NA","NA","NA","NA","NA"
"Fratercula sp.",8400,"NA","NA","NA","NA","NA","NA"
"Fratercula arctica",8401,"NA","NA","NA","NA","NA","NA"
"Fratercula corniculata",8402,"NA","NA","NA","NA","NA","NA"
"Fratercula cirrhata",8403,"NA","NA","NA","NA","NA","NA"
"Fratercula cf. F. corniculata",8404,"NA","NA","NA","NA","NA","NA"
"Fratercula cf. F. cirrhata",8405,"NA","NA","NA","NA","NA","NA"
"Columbiformes",8406,"NA","NA","NA","NA","NA","NA"
"Columbidae",8407,"NA","NA","NA","NA","NA","NA"
"Patagioenas",8408,"NA","NA","NA","NA","NA","NA"
"Patagioenas fasciata",8409,"NA","NA","NA","NA","NA","NA"
"Zenaida",8410,"NA","NA","NA","NA","NA","NA"
"Zenaida sp.",8411,"NA","NA","NA","NA","NA","NA"
"Zenaida aurita",8412,"NA","NA","NA","NA","NA","NA"
"Zenaida macroura",8413,"NA","NA","NA","NA","NA","NA"
"Zenaida cf. Z. aurita",8414,"NA","NA","NA","NA","NA","NA"
"Zenaida cf. Z. macroura",8415,"NA","NA","NA","NA","NA","NA"
"Columbina",8416,"NA","NA","NA","NA","NA","NA"
"Columbina sp.",8417,"NA","NA","NA","NA","NA","NA"
"Columbina inca",8418,"NA","NA","NA","NA","NA","NA"
"Columbina minuta",8419,"NA","NA","NA","NA","NA","NA"
"Columbina passerina",8420,"NA","NA","NA","NA","NA","NA"
"Columbina talpacoti",8421,"NA","NA","NA","NA","NA","NA"
"Columbina cf. C. inca",8422,"NA","NA","NA","NA","NA","NA"
"Columbina cf. C. minuta",8423,"NA","NA","NA","NA","NA","NA"
"Columbina cf. C. passerina",8424,"NA","NA","NA","NA","NA","NA"
"Columbina cf. C. talpacoti",8425,"NA","NA","NA","NA","NA","NA"
"Cuculiformes",8426,"NA","NA","NA","NA","NA","NA"
"Cuculidae",8427,"NA","NA","NA","NA","NA","NA"
"Coccyzus",8428,"NA","NA","NA","NA","NA","NA"
"Coccyzus sp.",8429,"NA","NA","NA","NA","NA","NA"
"Coccyzus americanus",8430,"NA","NA","NA","NA","NA","NA"
"Coccyzus erythropthalmus",8431,"NA","NA","NA","NA","NA","NA"
"Coccyzus cf. C. americanus",8432,"NA","NA","NA","NA","NA","NA"
"Coccyzus cf. C. erythropthalmus",8433,"NA","NA","NA","NA","NA","NA"
"Geococcyx",8434,"NA","NA","NA","NA","NA","NA"
"Geococcyx sp.",8435,"NA","NA","NA","NA","NA","NA"
"Geococcyx californianus",8436,"NA","NA","NA","NA","NA","NA"
"Geococcyx velox",8437,"NA","NA","NA","NA","NA","NA"
"Geococcyx cf. G. californianus",8438,"NA","NA","NA","NA","NA","NA"
"Geococcyx cf. G. velox",8439,"NA","NA","NA","NA","NA","NA"
"Tytonidae",8440,"NA","NA","NA","NA","NA","NA"
"Tyto",8441,"NA","NA","NA","NA","NA","NA"
"Tyto alba",8442,"NA","NA","NA","NA","NA","NA"
"Otus",8443,"NA","NA","NA","NA","NA","NA"
"Otus flammeolus",8444,"NA","NA","NA","NA","NA","NA"
"Megascops",8445,"NA","NA","NA","NA","NA","NA"
"Megascops sp.",8446,"NA","NA","NA","NA","NA","NA"
"Megascops asio",8447,"NA","NA","NA","NA","NA","NA"
"Megascops cooperi",8448,"NA","NA","NA","NA","NA","NA"
"Megascops kennicottii",8449,"NA","NA","NA","NA","NA","NA"
"Megascops cf. M. asio",8450,"NA","NA","NA","NA","NA","NA"
"Megascops cf. M. cooperi",8451,"NA","NA","NA","NA","NA","NA"
"Megascops cf. M. kennicottii",8452,"NA","NA","NA","NA","NA","NA"
"Bubo",8453,"NA","NA","NA","NA","NA","NA"
"Bubo sp.",8454,"NA","NA","NA","NA","NA","NA"
"Bubo scandiacus",8455,"NA","NA","NA","NA","NA","NA"
"Bubo cf. B. scandiacus",8457,"NA","NA","NA","NA","NA","NA"
"Bubo cf. B. virginianus",8458,"NA","NA","NA","NA","NA","NA"
"Surnia",8459,"NA","NA","NA","NA","NA","NA"
"Surnia ulula",8460,"NA","NA","NA","NA","NA","NA"
"Glaucidium",8461,"NA","NA","NA","NA","NA","NA"
"Glaucidium gnoma",8462,"NA","NA","NA","NA","NA","NA"
"Micrathene",8463,"NA","NA","NA","NA","NA","NA"
"Micrathene whitneyi",8464,"NA","NA","NA","NA","NA","NA"
"Athene",8465,"NA","NA","NA","NA","NA","NA"
"Athene cunicularia",8466,"NA","NA","NA","NA","NA","NA"
"Strix",8467,"NA","NA","NA","NA","NA","NA"
"Strix sp.",8468,"NA","NA","NA","NA","NA","NA"
"Strix nebulosa",8469,"NA","NA","NA","NA","NA","NA"
"Strix occidentalis",8470,"NA","NA","NA","NA","NA","NA"
"Strix varia",8471,"NA","NA","NA","NA","NA","NA"
"Strix cf. S. nebulosa",8472,"NA","NA","NA","NA","NA","NA"
"Strix cf. S. occidentalis",8473,"NA","NA","NA","NA","NA","NA"
"Strix cf. S. varia",8474,"NA","NA","NA","NA","NA","NA"
"Asio sp.",8475,"NA","NA","NA","NA","NA","NA"
"Asio otus",8476,"NA","NA","NA","NA","NA","NA"
"Asio cf. A. flammeus",8477,"NA","NA","NA","NA","NA","NA"
"Asio cf. A. otus",8478,"NA","NA","NA","NA","NA","NA"
"Aegolius",8479,"NA","NA","NA","NA","NA","NA"
"Aegolius sp.",8480,"NA","NA","NA","NA","NA","NA"
"Aegolius acadicus",8481,"NA","NA","NA","NA","NA","NA"
"Aegolius funereus",8482,"NA","NA","NA","NA","NA","NA"
"Aegolius cf. A. acadicus",8483,"NA","NA","NA","NA","NA","NA"
"Aegolius cf. A. funereus",8484,"NA","NA","NA","NA","NA","NA"
"Caprimulgiformes",8485,"NA","NA","NA","NA","NA","NA"
"Caprimulgidae",8486,"NA","NA","NA","NA","NA","NA"
"Chordeiles",8487,"NA","NA","NA","NA","NA","NA"
"Chordeiles minor",8488,"NA","NA","NA","NA","NA","NA"
"Coraciiformes",8489,"NA","NA","NA","NA","NA","NA"
"Alcedinidae",8490,"NA","NA","NA","NA","NA","NA"
"Megaceryle",8491,"NA","NA","NA","NA","NA","NA"
"Megaceryle alcyon",8492,"NA","NA","NA","NA","NA","NA"
"Melanerpes",8493,"NA","NA","NA","NA","NA","NA"
"Melanerpes sp.",8494,"NA","NA","NA","NA","NA","NA"
"Melanerpes carolinus",8495,"NA","NA","NA","NA","NA","NA"
"Melanerpes erythrocephalus",8496,"NA","NA","NA","NA","NA","NA"
"Melanerpes formicivorus",8497,"NA","NA","NA","NA","NA","NA"
"Melanerpes lewis",8498,"NA","NA","NA","NA","NA","NA"
"Melanerpes uropygialis",8499,"NA","NA","NA","NA","NA","NA"
"Melanerpes cf. M. carolinus",8500,"NA","NA","NA","NA","NA","NA"
"Melanerpes cf. M. erythrocephalus",8501,"NA","NA","NA","NA","NA","NA"
"Melanerpes cf. M. formicivorus",8502,"NA","NA","NA","NA","NA","NA"
"Melanerpes cf. M. uropygialis",8503,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus",8504,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus sp.",8505,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus ruber",8506,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus varius",8507,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus cf. S. ruber",8508,"NA","NA","NA","NA","NA","NA"
"Sphyrapicus cf. S. varius",8509,"NA","NA","NA","NA","NA","NA"
"Picoides",8510,"NA","NA","NA","NA","NA","NA"
"Picoides sp.",8511,"NA","NA","NA","NA","NA","NA"
"Picoides albolarvatus",8512,"NA","NA","NA","NA","NA","NA"
"Picoides arcticus",8513,"NA","NA","NA","NA","NA","NA"
"Picoides borealis",8514,"NA","NA","NA","NA","NA","NA"
"Picoides dorsalis",8515,"NA","NA","NA","NA","NA","NA"
"Picoides nuttallii",8516,"NA","NA","NA","NA","NA","NA"
"Picoides pubescens",8517,"NA","NA","NA","NA","NA","NA"
"Picoides scalaris",8518,"NA","NA","NA","NA","NA","NA"
"Picoides villosus",8519,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. albolarvatus",8520,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. arcticus",8521,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. borealis",8522,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. dorsalis",8523,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. nuttallii",8524,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. pubescens",8525,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. scalaris",8526,"NA","NA","NA","NA","NA","NA"
"Picoides cf. P. villosus",8527,"NA","NA","NA","NA","NA","NA"
"Colaptes",8528,"NA","NA","NA","NA","NA","NA"
"Colaptes auratus",8529,"NA","NA","NA","NA","NA","NA"
"Campephilus",8530,"NA","NA","NA","NA","NA","NA"
"Campephilus principalis",8531,"NA","NA","NA","NA","NA","NA"
"Laniidae",8532,"NA","NA","NA","NA","NA","NA"
"Lanius",8533,"NA","NA","NA","NA","NA","NA"
"Lanius sp.",8534,"NA","NA","NA","NA","NA","NA"
"Lanius excubitor",8535,"NA","NA","NA","NA","NA","NA"
"Lanius ludovicianus",8536,"NA","NA","NA","NA","NA","NA"
"Lanius cf. L. excubitor",8537,"NA","NA","NA","NA","NA","NA"
"Lanius cf. L. ludovicianus",8538,"NA","NA","NA","NA","NA","NA"
"Perisoreus",8539,"NA","NA","NA","NA","NA","NA"
"Perisoreus canadensis",8540,"NA","NA","NA","NA","NA","NA"
"Cyanocitta",8541,"NA","NA","NA","NA","NA","NA"
"Cyanocitta sp.",8542,"NA","NA","NA","NA","NA","NA"
"Cyanocitta cristata",8543,"NA","NA","NA","NA","NA","NA"
"Cyanocitta stelleri",8544,"NA","NA","NA","NA","NA","NA"
"Cyanocitta cf. C. cristata",8545,"NA","NA","NA","NA","NA","NA"
"Cyanocitta cf. C. stelleri",8546,"NA","NA","NA","NA","NA","NA"
"Aphelocoma",8547,"NA","NA","NA","NA","NA","NA"
"Aphelocoma sp.",8548,"NA","NA","NA","NA","NA","NA"
"Aphelocoma californica",8549,"NA","NA","NA","NA","NA","NA"
"Aphelocoma coerulescens",8550,"NA","NA","NA","NA","NA","NA"
"Aphelocoma insularis",8551,"NA","NA","NA","NA","NA","NA"
"Aphelocoma ultramarina",8552,"NA","NA","NA","NA","NA","NA"
"Aphelocoma cf. A. californica",8553,"NA","NA","NA","NA","NA","NA"
"Aphelocoma cf. A. coerulescens",8554,"NA","NA","NA","NA","NA","NA"
"Aphelocoma cf. A. insularis",8555,"NA","NA","NA","NA","NA","NA"
"Aphelocoma cf. A. ultramarina",8556,"NA","NA","NA","NA","NA","NA"
"Nucifraga",8557,"NA","NA","NA","NA","NA","NA"
"Nucifraga columbiana",8558,"NA","NA","NA","NA","NA","NA"
"Pica",8559,"NA","NA","NA","NA","NA","NA"
"Pica sp.",8560,"NA","NA","NA","NA","NA","NA"
"Pica hudsonia",8561,"NA","NA","NA","NA","NA","NA"
"Pica nuttalli",8562,"NA","NA","NA","NA","NA","NA"
"Pica cf. P. hudsonia",8563,"NA","NA","NA","NA","NA","NA"
"Pica cf. P. nuttalli",8564,"NA","NA","NA","NA","NA","NA"
"Corvus sp.",8565,"NA","NA","NA","NA","NA","NA"
"Corvus brachyrhynchos",8566,"NA","NA","NA","NA","NA","NA"
"Corvus brachyrhynchos/C. caurinus",8567,"NA","NA","NA","NA","NA","NA"
"Corvus caurinus",8568,"NA","NA","NA","NA","NA","NA"
"Corvus cryptoleucus",8569,"NA","NA","NA","NA","NA","NA"
"Corvus ossifragus",8570,"NA","NA","NA","NA","NA","NA"
"Corvus cf. C. brachyrhynchos",8571,"NA","NA","NA","NA","NA","NA"
"Corvus cf. C. caurinus",8572,"NA","NA","NA","NA","NA","NA"
"Corvus cf. C. corax",8573,"NA","NA","NA","NA","NA","NA"
"Corvus cf. C. cryptoleucus",8574,"NA","NA","NA","NA","NA","NA"
"Corvus cf. C. ossifragus",8575,"NA","NA","NA","NA","NA","NA"
"Cardinalidae",8576,"NA","NA","NA","NA","NA","NA"
"Cardinalis",8577,"NA","NA","NA","NA","NA","NA"
"Cardinalis cardinalis",8578,"NA","NA","NA","NA","NA","NA"
"Pheucticus",8579,"NA","NA","NA","NA","NA","NA"
"Pheucticus sp.",8580,"NA","NA","NA","NA","NA","NA"
"Pheucticus chrysopeplus",8581,"NA","NA","NA","NA","NA","NA"
"Pheucticus ludovicianus",8582,"NA","NA","NA","NA","NA","NA"
"Pheucticus melanocephalus",8583,"NA","NA","NA","NA","NA","NA"
"Pheucticus cf. P. chrysopeplus",8584,"NA","NA","NA","NA","NA","NA"
"Pheucticus cf. P. ludovicianus",8585,"NA","NA","NA","NA","NA","NA"
"Pheucticus cf. P. melanocephalus",8586,"NA","NA","NA","NA","NA","NA"
"Agelaius sp.",8587,"NA","NA","NA","NA","NA","NA"
"Agelaius assimilis",8588,"NA","NA","NA","NA","NA","NA"
"Agelaius tricolor",8589,"NA","NA","NA","NA","NA","NA"
"Agelaius cf. A. assimilis",8590,"NA","NA","NA","NA","NA","NA"
"Agelaius cf. A. tricolor",8591,"NA","NA","NA","NA","NA","NA"
"Sturnella",8592,"NA","NA","NA","NA","NA","NA"
"Sturnella sp.",8593,"NA","NA","NA","NA","NA","NA"
"Sturnella magna",8594,"NA","NA","NA","NA","NA","NA"
"Sturnella neglecta",8595,"NA","NA","NA","NA","NA","NA"
"Sturnella cf. S. magna",8596,"NA","NA","NA","NA","NA","NA"
"Sturnella cf. S. neglecta",8597,"NA","NA","NA","NA","NA","NA"
"Xanthocephalus",8598,"NA","NA","NA","NA","NA","NA"
"Xanthocephalus xanthocephalus",8599,"NA","NA","NA","NA","NA","NA"
"Euphagus",8600,"NA","NA","NA","NA","NA","NA"
"Euphagus sp.",8601,"NA","NA","NA","NA","NA","NA"
"Euphagus carolinus",8602,"NA","NA","NA","NA","NA","NA"
"Euphagus cyanocephalus",8603,"NA","NA","NA","NA","NA","NA"
"Euphagus cf. E. carolinus",8604,"NA","NA","NA","NA","NA","NA"
"Euphagus cf. E. cyanocephalus",8605,"NA","NA","NA","NA","NA","NA"
"Quiscalus",8606,"NA","NA","NA","NA","NA","NA"
"Quiscalus sp.",8607,"NA","NA","NA","NA","NA","NA"
"Quiscalus major",8608,"NA","NA","NA","NA","NA","NA"
"Quiscalus mexicanus",8609,"NA","NA","NA","NA","NA","NA"
"Quiscalus quiscula",8610,"NA","NA","NA","NA","NA","NA"
"Quiscalus cf. Q. major",8611,"NA","NA","NA","NA","NA","NA"
"Quiscalus cf. Q. mexicanus",8612,"NA","NA","NA","NA","NA","NA"
"Quiscalus cf. Q. quiscula",8613,"NA","NA","NA","NA","NA","NA"
"Fringillidae",8614,"NA","NA","NA","NA","NA","NA"
"Loxia",8615,"NA","NA","NA","NA","NA","NA"
"Loxia leucoptera",8616,"NA","NA","NA","NA","NA","NA"
"Acanthis",8617,"NA","NA","NA","NA","NA","NA"
"Acanthis sp.",8618,"NA","NA","NA","NA","NA","NA"
"Acanthis flammea",8619,"NA","NA","NA","NA","NA","NA"
"Acanthis hornemanni",8620,"NA","NA","NA","NA","NA","NA"
"Acanthis cf. A. flammea",8621,"NA","NA","NA","NA","NA","NA"
"Acanthis cf. A. hornemanni",8622,"NA","NA","NA","NA","NA","NA"
"Spinus",8623,"NA","NA","NA","NA","NA","NA"
"Spinus sp.",8624,"NA","NA","NA","NA","NA","NA"
"Spinus pinus",8625,"NA","NA","NA","NA","NA","NA"
"Spinus tristis",8626,"NA","NA","NA","NA","NA","NA"
"Spinus cf. S. pinus",8627,"NA","NA","NA","NA","NA","NA"
"Spinus cf. S. tristis",8628,"NA","NA","NA","NA","NA","NA"
"Coccothraustes",8629,"NA","NA","NA","NA","NA","NA"
"Coccothraustes sp.",8630,"NA","NA","NA","NA","NA","NA"
"Coccothraustes abeillei",8631,"NA","NA","NA","NA","NA","NA"
"Coccothraustes vespertinus",8632,"NA","NA","NA","NA","NA","NA"
"Coccothraustes cf. C. abeillei",8633,"NA","NA","NA","NA","NA","NA"
"Coccothraustes cf. C. vespertinus",8634,"NA","NA","NA","NA","NA","NA"
"Pandionidae",8635,"NA","NA","NA","NA","NA","NA"
"Chondrichthyes",8636,"NA","NA","NA","NA","NA","NA"
"Chimaeriformes",8637,"NA","NA","NA","NA","NA","NA"
"Chimaeridae",8638,"NA","NA","NA","NA","NA","NA"
"Hydrolagus",8639,"NA","NA","NA","NA","NA","NA"
"Hydrolagus colliei",8640,"NA","NA","NA","NA","NA","NA"
"Squaliformes",8641,"NA","NA","NA","NA","NA","NA"
"Squalidae",8642,"NA","NA","NA","NA","NA","NA"
"Squalus",8643,"NA","NA","NA","NA","NA","NA"
"Squalus acanthius",8644,"NA","NA","NA","NA","NA","NA"
"Lamniformes",8645,"NA","NA","NA","NA","NA","NA"
"Lamnidae",8646,"NA","NA","NA","NA","NA","NA"
"Lamna",8647,"NA","NA","NA","NA","NA","NA"
"Lamna ditropis",8648,"NA","NA","NA","NA","NA","NA"
"Rajiformes",8649,"NA","NA","NA","NA","NA","NA"
"Rajidae",8650,"NA","NA","NA","NA","NA","NA"
"Raja",8651,"NA","NA","NA","NA","NA","NA"
"Raja sp.",8652,"NA","NA","NA","NA","NA","NA"
"Acipenseriformes",8653,"NA","NA","NA","NA","NA","NA"
"Acipenseridae",8654,"NA","NA","NA","NA","NA","NA"
"Acipenser",8655,"NA","NA","NA","NA","NA","NA"
"Acipenser sp.",8656,"NA","NA","NA","NA","NA","NA"
"Acipenser transmontanus",8657,"NA","NA","NA","NA","NA","NA"
"Acipenser medirostris",8658,"NA","NA","NA","NA","NA","NA"
"Acipenser cf. A. transmontanus",8659,"NA","NA","NA","NA","NA","NA"
"Acipenser cf. A. medirostris",8660,"NA","NA","NA","NA","NA","NA"
"Clupeiformes",8661,"NA","NA","NA","NA","NA","NA"
"Engraulidae",8662,"NA","NA","NA","NA","NA","NA"
"Engraulis",8663,"NA","NA","NA","NA","NA","NA"
"Engraulis sp.",8664,"NA","NA","NA","NA","NA","NA"
"Engraulis japonicus",8665,"NA","NA","NA","NA","NA","NA"
"Engraulis mordax",8666,"NA","NA","NA","NA","NA","NA"
"Engraulis cf. E. japonicus",8667,"NA","NA","NA","NA","NA","NA"
"Engraulis cf. E. mordax",8668,"NA","NA","NA","NA","NA","NA"
"Clupeidae",8669,"NA","NA","NA","NA","NA","NA"
"Clupea",8670,"NA","NA","NA","NA","NA","NA"
"Clupea pallasii",8671,"NA","NA","NA","NA","NA","NA"
"Etrumeus",8672,"NA","NA","NA","NA","NA","NA"
"Etrumeus teres",8673,"NA","NA","NA","NA","NA","NA"
"Sardinops",8674,"NA","NA","NA","NA","NA","NA"
"Sardinops sagax",8675,"NA","NA","NA","NA","NA","NA"
"Mylocheilus",8676,"NA","NA","NA","NA","NA","NA"
"Mylocheilus caurinus",8677,"NA","NA","NA","NA","NA","NA"
"Salmoniformes",8678,"NA","NA","NA","NA","NA","NA"
"Osmeridae",8679,"NA","NA","NA","NA","NA","NA"
"Hypomesus",8680,"NA","NA","NA","NA","NA","NA"
"Hypomesus pretiosus",8681,"NA","NA","NA","NA","NA","NA"
"Mallotus",8682,"NA","NA","NA","NA","NA","NA"
"Mallotus villosus",8683,"NA","NA","NA","NA","NA","NA"
"Osmerus",8684,"NA","NA","NA","NA","NA","NA"
"Osmerus mordax",8685,"NA","NA","NA","NA","NA","NA"
"Thaleichthys",8686,"NA","NA","NA","NA","NA","NA"
"Thaleichthys pacificus",8687,"NA","NA","NA","NA","NA","NA"
"Salmonidae",8688,"NA","NA","NA","NA","NA","NA"
"Coregonus",8689,"NA","NA","NA","NA","NA","NA"
"Coregonus sp.",8690,"NA","NA","NA","NA","NA","NA"
"Coregonus autumnalis",8691,"NA","NA","NA","NA","NA","NA"
"Coregonus laurettae",8692,"NA","NA","NA","NA","NA","NA"
"Coregonus nasus",8693,"NA","NA","NA","NA","NA","NA"
"Coregonus pidschian",8694,"NA","NA","NA","NA","NA","NA"
"Coregonus sardinella",8695,"NA","NA","NA","NA","NA","NA"
"Coregonus cf. C. laurettae",8696,"NA","NA","NA","NA","NA","NA"
"Coregonus cf. C. nasus",8697,"NA","NA","NA","NA","NA","NA"
"Coregonus cf. C. pidschian",8698,"NA","NA","NA","NA","NA","NA"
"Coregonus cf. C. sardinella",8699,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus",8700,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus sp.",8701,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus clarkii",8702,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus gorbuscha",8703,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus keta",8704,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus kisutch",8705,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus mykiss",8706,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus nerka",8707,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus tshawytscha",8708,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. clarkii",8709,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. gorbuscha",8710,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. keta",8711,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. kisutch",8712,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. mykiss",8713,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. nerka",8714,"NA","NA","NA","NA","NA","NA"
"Oncorhynchus cf. O. tshawytscha",8715,"NA","NA","NA","NA","NA","NA"
"Salvelinus",8716,"NA","NA","NA","NA","NA","NA"
"Salvelinus malma",8717,"NA","NA","NA","NA","NA","NA"
"Aulopiformes",8718,"NA","NA","NA","NA","NA","NA"
"Alepisauridae",8719,"NA","NA","NA","NA","NA","NA"
"Alepisaurus",8720,"NA","NA","NA","NA","NA","NA"
"Alepisaurus ferox",8721,"NA","NA","NA","NA","NA","NA"
"Gadiformes",8722,"NA","NA","NA","NA","NA","NA"
"Merlucciidae",8723,"NA","NA","NA","NA","NA","NA"
"Merluccius",8724,"NA","NA","NA","NA","NA","NA"
"Merluccius productus",8725,"NA","NA","NA","NA","NA","NA"
"Gadidae",8726,"NA","NA","NA","NA","NA","NA"
"Arctogadus",8727,"NA","NA","NA","NA","NA","NA"
"Arctogadus glacialis",8728,"NA","NA","NA","NA","NA","NA"
"Boreogadus saida",8729,"NA","NA","NA","NA","NA","NA"
"Boreogadus",8730,"NA","NA","NA","NA","NA","NA"
"Eleginus",8731,"NA","NA","NA","NA","NA","NA"
"Eleginus gracilis",8732,"NA","NA","NA","NA","NA","NA"
